LocID,Year,Boarding
ATL,2016,50501858
LAX,2016,39636042
ORD,2016,37589899
DFW,2016,31283579
JFK,2016,29239151
DEN,2016,28267394
SFO,2016,25707101
LAS,2016,22833267
SEA,2016,21887110
CLT,2016,21511880
PHX,2016,20896265
MIA,2016,20875813
MCO,2016,20283541
IAH,2016,20062072
EWR,2016,19923009
MSP,2016,18123844
BOS,2016,17759044
DTW,2016,16847135
LGA,2016,14762593
PHL,2016,14564419
FLL,2016,14263270
BWI,2016,12340972
DCA,2016,11470854
SLC,2016,11143738
MDW,2016,11044387
IAD,2016,10596942
SAN,2016,10340164
HNL,2016,9656340
TPA,2016,9194994
PDX,2016,9071154
DAL,2016,7554596
STL,2016,6793076
BNA,2016,6338517
HOU,2016,6285181
AUS,2016,6095545
OAK,2016,5934639
MSY,2016,5569705
RDU,2016,5401714
MCI,2016,5391557
SJC,2016,5321603
SNA,2016,5217242
SMF,2016,4969366
SJU,2016,4343354
RSW,2016,4239261
IND,2016,4216766
SAT,2016,4179994
CLE,2016,4083476
PIT,2016,3986114
CMH,2016,3567864
OGG,2016,3352813
MKE,2016,3327536
CVG,2016,3269979
PBI,2016,3100624
BDL,2016,2982194
JAX,2016,2729129
ANC,2016,2563524
ABQ,2016,2341719
BUF,2016,2313724
OMA,2016,2127387
ONT,2016,2104625
BUR,2016,2077892
MEM,2016,2016089
CHS,2016,1811695
PVD,2016,1803000
OKC,2016,1796473
RIC,2016,1777648
RNO,2016,1771864
BOI,2016,1633507
SDF,2016,1631494
ORF,2016,1602631
TUS,2016,1594594
GEG,2016,1570652
KOA,2016,1569602
LIH,2016,1458940
GUM,2016,1444299
ELP,2016,1414376
ALB,2016,1388860
LGB,2016,1386357
TUL,2016,1342315
GRR,2016,1334979
SFB,2016,1321675
BHM,2016,1304467
DSM,2016,1216357
ROC,2016,1186002
SAV,2016,1056265
DAY,2016,1019922
PSP,2016,995801
MHT,2016,995403
GSP,2016,991276
SYR,2016,988496
LIT,2016,958824
MYR,2016,944849
PIE,2016,915672
MSN,2016,903155
TYS,2016,887103
PWM,2016,886343
GSO,2016,848261
PNS,2016,792916
ICT,2016,781944
HPN,2016,766170
FAT,2016,761298
STT,2016,729382
IWA,2016,705731
CAK,2016,685553
XNA,2016,673810
COS,2016,657694
ITO,2016,640757
LEX,2016,638316
ISP,2016,597133
BTV,2016,593311
SRQ,2016,589860
MDT,2016,589511
ACY,2016,589091
PGD,2016,558482
CAE,2016,553658
BZN,2016,553245
CID,2016,547786
FAI,2016,538881
HSV,2016,527801
FSD,2016,510105
JAN,2016,491464
EUG,2016,483224
MAF,2016,471490
SGF,2016,462126
LBB,2016,448093
VPS,2016,440002
ECP,2016,434302
GSN,2016,430275
BIL,2016,423213
CHA,2016,422442
JNU,2016,420442
AVL,2016,416939
BLI,2016,415285
ILM,2016,413185
FAR,2016,402976
MFR,2016,401469
FNT,2016,398508
MSO,2016,381582
EYW,2016,380505
PSC,2016,374301
MLI,2016,364393
BTR,2016,364200
FWA,2016,360369
MFE,2016,355224
TLH,2016,345404
DAB,2016,342495
JAC,2016,342044
AMA,2016,334815
SBN,2016,329957
SBA,2016,329751
CRP,2016,325815
ABE,2016,324511
GCN,2016,319206
PIA,2016,307189
RDM,2016,306517
ROA,2016,305212
GPT,2016,305157
CHO,2016,295930
GRB,2016,292868
MOB,2016,288209
TTN,2016,278436
BIS,2016,273980
RAP,2016,272537
AGS,2016,270797
ATW,2016,270633
SHV,2016,270395
BGR,2016,269013
HRL,2016,263760
BQN,2016,257871
ASE,2016,254392
GPI,2016,247816
AVP,2016,232855
FAY,2016,224541
TVC,2016,223924
MLB,2016,220360
GJT,2016,218319
CRW,2016,213412
BVU,2016,211615
LFT,2016,206667
GNV,2016,206330
TRI,2016,204926
EVV,2016,204352
PHF,2016,199421
STX,2016,196047
MRY,2016,192136
BMI,2016,188490
DRO,2016,187789
GTF,2016,176730
MGM,2016,173210
STS,2016,167151
EGE,2016,163840
LNK,2016,162876
SBP,2016,162719
LAN,2016,161863
GRK,2016,157161
BET,2016,155791
AZO,2016,154242
MOT,2016,150634
OAJ,2016,149987
IDA,2016,146213
LBE,2016,146127
SWF,2016,140328
ELM,2016,139583
UNV,2016,134312
GFK,2016,132557
AEX,2016,129776
PBG,2016,129622
1G4,2016,128739
KTN,2016,127881
ACK,2016,126197
IAG,2016,126028
DLH,2016,124284
MBS,2016,122469
BRO,2016,120151
CWA,2016,119222
MTJ,2016,116272
RST,2016,112864
IFP,2016,109334
HDN,2016,107339
EWN,2016,106110
PSE,2016,105804
HLN,2016,103239
LCK,2016,102751
MLU,2016,102342
RFD,2016,101790
LRD,2016,101115
BFL,2016,100433
HTS,2016,98489
LSE,2016,94047
SPI,2016,93269
SCK,2016,93076
CPR,2016,92805
MKK,2016,92560
TOL,2016,92522
ENA,2016,92485
JQF,2016,90338
CMI,2016,89318
ITH,2016,88692
ERI,2016,87647
ABI,2016,84809
FSM,2016,83920
SIT,2016,83404
BLV,2016,79988
ADQ,2016,79682
CLL,2016,78907
SGU,2016,78680
PVU,2016,78451
SUN,2016,77729
LYH,2016,75465
NYL,2016,74742
PSM,2016,73247
LWS,2016,72724
SAF,2016,71252
YKM,2016,70993
ACV,2016,69732
GRI,2016,68879
ISN,2016,68829
BGM,2016,68415
PPG,2016,65439
COU,2016,65014
FLG,2016,64578
OTZ,2016,64481
ACT,2016,64356
MHK,2016,63761
HND,2016,63445
VQS,2016,63104
PUW,2016,61833
OME,2016,60655
SJT,2016,60277
EAT,2016,60068
SBY,2016,58695
ORH,2016,57800
MVY,2016,54084
YNG,2016,53633
LCH,2016,53576
TYR,2016,52494
SCC,2016,51205
LAW,2016,51088
DHN,2016,49411
PGV,2016,47457
ALW,2016,47439
SAW,2016,45462
BRW,2016,45300
FLO,2016,45300
CSG,2016,44813
ROW,2016,44378
HOM,2016,44117
RDD,2016,43414
LNY,2016,43275
RVR,2016,43005
GTR,2016,40823
COD,2016,40340
VLD,2016,40275
SPS,2016,40165
SMX,2016,40120
TWF,2016,38869
TNI,2016,38452
DBQ,2016,37954
AKN,2016,36717
SUX,2016,36413
BQK,2016,36054
GUC,2016,34979
PIH,2016,34462
ABY,2016,34226
DLG,2016,33616
TXK,2016,33565
CPX,2016,31141
DUT,2016,31055
HYA,2016,31027
HXD,2016,30956
SGJ,2016,28462
GCC,2016,28383
JLN,2016,27930
HVN,2016,27911
HGR,2016,27274
ALO,2016,27069
GCK,2016,26825
ABR,2016,26529
BPT,2016,26518
MEI,2016,26359
CKB,2016,26025
BTM,2016,25890
BJI,2016,25510
PLN,2016,25497
CMX,2016,25439
SIG,2016,24054
OWB,2016,23537
LHD,2016,23382
GGG,2016,22480
PSG,2016,21896
MMH,2016,21826
EAU,2016,21304
CIU,2016,20974
RHI,2016,20414
PAH,2016,20266
IPT,2016,19320
GRO,2016,19178
MRI,2016,19144
CDV,2016,18649
BRD,2016,18328
MKG,2016,18165
BFI,2016,17795
PGA,2016,17435
ART,2016,17312
BID,2016,17225
WST,2016,17218
UNK,2016,16948
DIK,2016,16822
ESC,2016,16822
RKD,2016,16206
RKS,2016,16110
LAR,2016,15957
STC,2016,15615
OGD,2016,15609
EKO,2016,14893
OTH,2016,14719
HOB,2016,14707
CDC,2016,14413
INL,2016,13831
ANI,2016,13688
KSM,2016,12851
FHR,2016,12831
HIB,2016,12654
VDZ,2016,12631
IMT,2016,12604
WRG,2016,12569
PQI,2016,12526
PIB,2016,12367
GST,2016,11438
YAK,2016,10756
AKW,2016,10628
GAL,2016,10532
SWO,2016,10362
OGS,2016,10281
LEB,2016,10245
BHB,2016,10094
PVC,2016,10074
MWA,2016,10044
APN,2016,10031
MCE,2016,9426
HNS,2016,8936
HNH,2016,8809
SGY,2016,8714
CEC,2016,8667
WYS,2016,8525
DEC,2016,8453
HYS,2016,8265
PIR,2016,8246
DVL,2016,8209
TBN,2016,8108
ENM,2016,8072
SDY,2016,8065
JMS,2016,7941
MGW,2016,7851
UIN,2016,7847
CNY,2016,7837
ORS,2016,7826
MCW,2016,7734
TUP,2016,7539
CDB,2016,7403
MBA,2016,7293
FOD,2016,7271
CXF,2016,7203
BRL,2016,7086
EWB,2016,7022
AQH,2016,7012
FYU,2016,6552
LUP,2016,6119
FOE,2016,6051
ILI,2016,5835
IIK,2016,5747
VAK,2016,5654
HPB,2016,5635
CGI,2016,5532
SHD,2016,5442
SVC,2016,5442
MAZ,2016,5344
PHO,2016,5338
OOK,2016,5316
MSS,2016,5311
MSL,2016,5295
LBL,2016,5212
RUT,2016,5146
AUG,2016,5128
IWD,2016,5069
WLK,2016,5011
GLH,2016,4986
LWB,2016,4965
CVN,2016,4854
IRK,2016,4733
SLK,2016,4732
WTK,2016,4681
JBR,2016,4593
VRB,2016,4581
CEZ,2016,4564
FNL,2016,4559
SCM,2016,4513
CDR,2016,4474
CFK,2016,4456
MUE,2016,4445
BFF,2016,4262
LNS,2016,4230
RIW,2016,4228
BVK,2016,4198
SVA,2016,4197
JRF,2016,4195
JST,2016,4193
Z09,2016,4190
EAR,2016,4180
PKB,2016,4170
MOU,2016,4159
SDP,2016,4146
SOW,2016,4139
IPL,2016,4136
SOV,2016,4133
0AK,2016,4127
LBF,2016,4075
VEL,2016,4007
D76,2016,4004
DUY,2016,3978
SLN,2016,3967
AWI,2016,3932
A61,2016,3875
GGV,2016,3870
ALS,2016,3863
GAM,2016,3860
KWT,2016,3706
MKL,2016,3661
16A,2016,3628
2A9,2016,3531
TVF,2016,3524
AKP,2016,3522
PRC,2016,3451
SHH,2016,3445
OLF,2016,3439
KVL,2016,3421
EEK,2016,3406
GGW,2016,3251
MCG,2016,3236
KAE,2016,3227
MDM,2016,3194
CYS,2016,3189
KLG,2016,3142
BTI,2016,3136
IAN,2016,3127
CNM,2016,3057
Z13,2016,3045
TAL,2016,2952
EWU,2016,2936
DUJ,2016,2934
FAQ,2016,2887
AUK,2016,2854
SNP,2016,2838
LMT,2016,2827
HLA,2016,2728
4A2,2016,2706
NUL,2016,2694
2A3,2016,2649
GDV,2016,2639
TLT,2016,2634
BFD,2016,2623
PDT,2016,2582
CGA,2016,2581
WBB,2016,2571
ELD,2016,2544
MTM,2016,2527
ATL,2015,49340732
LAX,2015,36351272
ORD,2015,36305668
DFW,2015,31589839
JFK,2015,27782369
DEN,2015,26280043
SFO,2015,24190560
CLT,2015,21913166
LAS,2015,21857693
PHX,2015,21351504
MIA,2015,20986349
IAH,2015,20595881
SEA,2015,20148980
MCO,2015,18759938
EWR,2015,18684818
MSP,2015,17634273
BOS,2015,16290362
DTW,2015,16255520
PHL,2015,15101349
LGA,2015,14319924
FLL,2015,13061632
BWI,2015,11738845
DCA,2015,11242375
MDW,2015,10830850
SLC,2015,10634538
IAD,2015,10363974
SAN,2015,9985763
HNL,2015,9479094
TPA,2015,9150458
PDX,2015,8340252
DAL,2015,7040950
STL,2015,6239248
HOU,2015,5937990
AUS,2015,5797562
BNA,2015,5715205
OAK,2015,5506687
MSY,2015,5329711
MCI,2015,5135127
RDU,2015,4954735
SNA,2015,4945209
SJC,2015,4822480
SMF,2015,4714729
SJU,2015,4233638
RSW,2015,4159215
SAT,2015,4091434
CLE,2015,3916922
PIT,2015,3890681
IND,2015,3889567
CMH,2015,3312496
MKE,2015,3229897
OGG,2015,3220753
PBI,2015,3113591
CVG,2015,3054991
BDL,2015,2926054
JAX,2015,2716473
ANC,2015,2525893
BUF,2015,2336431
ABQ,2015,2323883
ONT,2015,2089801
OMA,2015,2046179
BUR,2015,1973897
MEM,2015,1873716
OKC,2015,1803188
PVD,2015,1763676
RIC,2015,1740391
CHS,2015,1669988
RNO,2015,1669876
SDF,2015,1640297
TUS,2015,1549253
GEG,2015,1515351
ORF,2015,1515200
LIH,2015,1491688
BOI,2015,1487777
KOA,2015,1485777
GUM,2015,1420500
ELP,2015,1381392
TUL,2015,1359582
BHM,2015,1325897
GRR,2015,1280803
ALB,2015,1276793
LGB,2015,1220937
SFB,2015,1209382
ROC,2015,1177994
DSM,2015,1156462
DAY,2015,1041759
MHT,2015,1026349
SYR,2015,987732
SAV,2015,980531
LIT,2015,958510
GSP,2015,955097
PSP,2015,947728
MYR,2015,899859
PWM,2015,858449
TYS,2015,848390
GSO,2015,848249
MSN,2015,826640
PIE,2015,819974
PNS,2015,787916
ICT,2015,773550
CAK,2015,759335
HPN,2015,757466
STT,2015,706098
FAT,2015,695008
IWA,2015,666187
XNA,2015,629905
ITO,2015,627171
SRQ,2015,607449
LEX,2015,606980
ISP,2015,603653
COS,2015,593246
ACY,2015,587967
MDT,2015,587049
BTV,2015,581143
CID,2015,557383
CAE,2015,533575
HSV,2015,519785
MAF,2015,518509
BZN,2015,512042
JAN,2015,497042
FSD,2015,493530
FAI,2015,493443
GSN,2015,455232
SGF,2015,447843
EUG,2015,447813
BLI,2015,447693
LBB,2015,443239
FAR,2015,437188
ECP,2015,428704
PGD,2015,421162
BIL,2015,420426
FNT,2015,411763
JNU,2015,403538
CHA,2015,393680
AVL,2015,393386
MFE,2015,391687
TTN,2015,389598
ILM,2015,388023
VPS,2015,373072
MFR,2015,370187
MLI,2015,368114
BTR,2015,366102
EYW,2015,362108
FWA,2015,353876
MSO,2015,350172
PSC,2015,348990
AMA,2015,341132
CRP,2015,338312
TLH,2015,332777
GCN,2015,332050
ABE,2015,320544
PIA,2015,318162
GPT,2015,317154
SBA,2015,316511
SBN,2015,315313
JAC,2015,313151
DAB,2015,306360
ROA,2015,300181
SHV,2015,295257
GRB,2015,295245
RDM,2015,280823
MOB,2015,278053
CHO,2015,274767
BGR,2015,273829
AGS,2015,271915
RAP,2015,264183
BIS,2015,262469
HRL,2015,259864
ATW,2015,258321
LFT,2015,243840
GPI,2015,237501
BVU,2015,234101
ASE,2015,233512
CRW,2015,225170
MLB,2015,220393
FAY,2015,220339
AVP,2015,219796
TRI,2015,216426
GJT,2015,214404
GNV,2015,213225
TVC,2015,210231
EVV,2015,203350
BQN,2015,202197
PHF,2015,202104
DRO,2015,186800
BMI,2015,186633
GTF,2015,182635
MOT,2015,181328
LBE,2015,181105
LAN,2015,180927
MRY,2015,180605
GRK,2015,176895
STX,2015,176588
MGM,2015,175619
LNK,2015,160525
AEX,2015,159252
BET,2015,158824
EGE,2015,156937
ACK,2015,155952
ELM,2015,155936
OAJ,2015,148960
IDA,2015,147923
1G4,2015,147137
GFK,2015,145785
SBP,2015,144324
BRO,2015,143353
SWF,2015,142603
UNV,2015,139124
PBG,2015,131600
DLH,2015,131128
STS,2015,129086
CWA,2015,126016
KTN,2015,124747
AZO,2015,122081
IAG,2015,121616
BFL,2015,120966
MBS,2015,119004
RST,2015,114657
MLU,2015,114170
LRD,2015,110368
EWN,2015,109237
IFP,2015,108888
RFD,2015,108379
CPR,2015,103123
MTJ,2015,102756
ISN,2015,102345
HTS,2015,101741
HLN,2015,99460
PSE,2015,98830
ENA,2015,97820
LSE,2015,94874
TOL,2015,94044
HDN,2015,93896
SPI,2015,90413
MKK,2015,90122
CLL,2015,89844
CMI,2015,89836
ERI,2015,88953
ITH,2015,87321
ABI,2015,86000
FSM,2015,84136
LCK,2015,83466
ADQ,2015,81970
SIT,2015,81019
SCK,2015,80163
NYL,2015,79233
BGM,2015,77654
SCC,2015,77152
LYH,2015,75824
SAF,2015,75460
JQF,2015,73727
TYR,2015,72294
VQS,2015,71356
SGU,2015,69680
LCH,2015,69130
SUN,2015,67955
FLG,2015,67419
LWS,2015,66579
OTZ,2015,66503
YNG,2015,66299
MHK,2015,66263
PPG,2015,65860
HYA,2015,65790
PVU,2015,65307
COU,2015,64707
GRI,2015,64602
SJT,2015,63842
YKM,2015,63747
ACT,2015,62882
EAT,2015,62319
SBY,2015,61782
OME,2015,59929
ORH,2015,59624
ACV,2015,55168
PGV,2015,55017
HND,2015,53551
FLO,2015,52611
LAW,2015,51859
CSG,2015,51790
PUW,2015,50883
MVY,2015,49853
BRW,2015,47676
TNI,2015,46977
DHN,2015,46792
PSM,2015,45933
SPS,2015,44262
SMX,2015,43941
RVR,2015,43506
SAW,2015,42578
DIK,2015,41925
ALW,2015,41272
HOM,2015,40770
LNY,2015,40599
VLD,2015,39544
GTR,2015,38632
HXD,2015,38322
DBQ,2015,38248
AKN,2015,35693
ROW,2015,35411
TXK,2015,34881
BQK,2015,34561
GUC,2015,34412
ABY,2015,33949
TWF,2015,33806
BPT,2015,33747
COD,2015,33278
CPX,2015,32907
BLV,2015,32589
DUT,2015,31753
HVN,2015,30955
RDD,2015,30852
GCC,2015,30502
JLN,2015,28306
ABR,2015,27595
BTM,2015,27448
GCK,2015,27152
ALO,2015,26950
DLG,2015,26949
SIG,2015,26203
SUX,2015,26104
CMX,2015,25732
HGR,2015,25356
PLN,2015,25197
BJI,2015,24765
PIH,2015,24745
MEI,2015,24685
CKB,2015,24087
MMH,2015,23504
CIU,2015,22687
SGJ,2015,22030
OWB,2015,21951
IPT,2015,21923
PAH,2015,21027
GGG,2015,20968
RHI,2015,20673
LHD,2015,20586
PSG,2015,20477
PGA,2015,19440
EAU,2015,19332
STC,2015,19171
BFI,2015,18945
ART,2015,18650
BRD,2015,18200
RKS,2015,17657
MKG,2015,17087
CDV,2015,16997
ESC,2015,16665
OGD,2015,16577
HOB,2015,16567
OTH,2015,16207
UNK,2015,15927
RKD,2015,15730
MRI,2015,15091
LAR,2015,14741
INL,2015,14706
CDC,2015,14334
VDZ,2015,14153
ANI,2015,13771
EKO,2015,13701
KSM,2015,13192
PIB,2015,12947
PQI,2015,12928
IMT,2015,12672
WRG,2015,12588
BID,2015,12415
HIB,2015,12394
GRO,2015,12116
WST,2015,11970
FHR,2015,11254
GST,2015,11189
PVC,2015,10841
GAL,2015,10703
MWA,2015,10570
APN,2015,10409
YAK,2015,10230
LEB,2015,10144
SDY,2015,10129
SLN,2015,10079
HNH,2015,10050
AKW,2015,9966
BHB,2015,9579
UIN,2015,9159
BRL,2015,9000
HNS,2015,8945
LUP,2015,8576
AQH,2015,8543
HYS,2015,8470
SGY,2015,8239
TBN,2015,8065
DEC,2015,8034
WYS,2015,7796
ENM,2015,7597
EWB,2015,7271
MGW,2015,7163
CDB,2015,7019
MCW,2015,6752
FYU,2015,6691
PIR,2015,6664
IIK,2015,6475
VAK,2015,6455
HPB,2015,6288
LWB,2015,6233
CGI,2015,6213
DVL,2015,6180
OOK,2015,6148
JMS,2015,6086
MAZ,2015,5900
ILI,2015,5865
SHD,2015,5536
LBL,2015,5456
RUT,2015,5379
WLK,2015,5376
JRF,2015,5347
FOD,2015,5228
ORS,2015,5204
IRK,2015,5167
BFF,2015,5144
OGS,2015,5120
AUG,2015,5120
SLK,2015,5047
CFK,2015,5018
PHO,2015,4974
FOE,2015,4939
MUE,2015,4930
CEC,2015,4915
SCM,2015,4902
JBR,2015,4836
CVN,2015,4799
IWD,2015,4697
MOU,2015,4692
LBF,2015,4628
EAR,2015,4543
2A9,2015,4484
MSS,2015,4462
D76,2015,4423
PKB,2015,4409
WTK,2015,4392
JST,2015,4338
DUY,2015,4298
PDT,2015,4277
SDP,2015,4146
Z09,2015,4109
BVK,2015,4063
A61,2015,4007
AWI,2015,3989
SVC,2015,3945
SOV,2015,3926
ELD,2015,3919
OLF,2015,3901
AUK,2015,3845
EEK,2015,3832
GGV,2015,3794
GGW,2015,3758
0AK,2015,3727
SVA,2015,3690
CYS,2015,3650
RIW,2015,3537
BFD,2015,3491
16A,2015,3449
FNL,2015,3445
KVL,2015,3433
KWT,2015,3429
PRC,2015,3428
EWU,2015,3406
AKP,2015,3402
SHH,2015,3366
GAM,2015,3309
KLG,2015,3292
Z13,2015,3279
IAN,2015,3276
DUJ,2015,3215
MDM,2015,3179
ALS,2015,3105
TAL,2015,2997
HLA,2015,2936
CXF,2015,2894
BTI,2015,2882
MTM,2015,2880
MCG,2015,2877
SNP,2015,2778
WBB,2015,2710
4A2,2015,2684
IPL,2015,2601
CGA,2015,2573
TLT,2015,2572
TUP,2015,2560
2A3,2015,2519
FAQ,2015,2436
GDV,2015,2311
CEZ,2015,2303
NUL,2015,2289
KAE,2015,2273
SOW,2015,2253
CNY,2015,2105
MCE,2015,2000
SWO,2015,1876
CNM,2015,1827
MKL,2015,1800
CDR,2015,1715
LNS,2015,1523
VEL,2015,1320
TVF,2015,1029
MSL,2015,802
GLH,2015,773
MBA,2015,566
VRB,2015,101
LMT,2015,93
ATL,2014,46604273
LAX,2014,34314197
ORD,2014,33843426
