Airport_Code,Airport_Name,State,StateName,County,City
ABE,"Lehigh Valley International Airport, Allentown",PA,Pennsylvania,Lehigh,Allentown
ABI,Abilene Regional,TX,Texas,Taylor,Abilene
ABQ,Albuquerque International Sunport Airport,NM,New Mexico,Bernalillo,Albuquerque
ABR,Aberdeen Regional Airport,SD,South Dakota,Brown,Aberdeen
ABY,Southwest Georgia Regional Airport,GA,Georgia,Dougherty,Albany
ABY,Southwest Georgia Regional Airport,GA,Georgia,Dougherty,Albany
ACK,Nantucket Memorial Airport,MA,Massachusetts,Nantucket,Nantucket
ACT,Waco Regional Airport,TX,Texas,Mc Lennan,Waco
ACV,Arcata-Eureka,CA,California,Humboldt,Arcata/Eureka
ACY,Atlantic City International,NJ,New Jersey,Atlantic,Atlantic City
ADK,Adak Mitchell Field Airport,AK,Alaska,Aleutians West,Adak Island
ADQ,Kodiak State Airport,AK,Alaska,Kodiak Island,Kodiak
AEX,Alexandria International Airport,LA,Louisiana,Rapides,Alexandria
AGS,Bush Field,GA,Georgia,Richmond,Augusta
AIA,Alliance Municipal Airport,NE,Nebraska,Box Butte,Alliance
AKN,King Salmon,AK,Alaska,Bristol Bay,King Salmon
ALB,Albany International,NY,New York,Albany,Albany
ALO,Waterloo Municipal Airport,IA,Iowa,Black Hawk,Waterloo
ALW,Walla Walla Regional Airport,WA,Washington,Walla Walla,Walla Walla
AMA,Rick Husband Amarillo International Airport,TX,Texas,Potter,Amarillo
ANC,Ted Stevens Anchorage International Airport,AK,Alaska,Anchorage,Anchorage
APN,Alpena County Regional Airport,MI,Michigan,Alpena,Alpena
ART,Watertown International,NY,New York,Jefferson,Watertown
ASE,Aspen Pitkin County Sardy Field,CO,Colorado,Pitkin,Aspen
ATL,Hartsfield-Jackson Atlanta International Airport,GA,Georgia,Fulton,Atlanta
ATW,Outagamie County,WI,Wisconsin,Outagamie,Appleton
AUS,Austin-Bergstrom International Airport,TX,Texas,Travis,Austin
AVL,Asheville Regional Airport,NC,North Carolina,Buncombe,Asheville
AVP,Wilkes-Barre/Scranton International,PA,Pennsylvania,Luzerne,Wilkes-Barre/Scranton
AZO,Kalamazoo/Battle Creek International,MI,Michigan,Kalamazoo,Kalamazoo
BDL,Bradley International Airport,CT,Connecticut,Hartford,Windsor Locks
BFD,Bradford Regional,PA,Pennsylvania,Mc Kean,Bradford
BFF,West Nebraska Regional - William Heilig Field,NE,Nebraska,Scotts Bluff,Scottsbluff
BFL,"Meadows Field, Bakersfield Airport",CA,California,Kern,Bakersfield
BGM,Greater Binghamton Airport,NY,New York,Broome,Binghamton
BGR,Bangor International Airport,ME,Maine,Penobscot,Bangor
BHB,Hancock County Bar Harbor,ME,Maine,Hancock,Bar Harbor
BHM,Birmingham International Airport,AL,Alabama,Jefferson,Birmingham
BIL,"Billings, MT",MT,Montana,Yellowstone,Billings
BIS,Bismarck Municipal,ND,North Dakota,Burleigh,Bismarck
BJI,"Bemidji, MN",MN,Minnesota,Beltrami,Bemidji
BKG,Branson Airport,Unknown,Unknown,Unknown,Unknown
BLI,Bellingham International,WA,Washington,Whatcom,Bellingham
BLV,Midamerica Airport,IL,Illinois,St Clair,Belleville
BMI,Bloomington-Normal Airport,IL,Illinois,Mc Lean,Bloomington/Normal
BNA,Nashville International,TN,Tennessee,Davidson,Nashville
BOI,Boise Air Terminal/Gowen Field,ID,Idaho,Ada,Boise
BOS,Boston (Logan) International Airport,MA,Massachusetts,Suffolk,Boston
BPT,Southeast Texas Regional,TX,Texas,Jefferson,Beaumont/Port Arthur
BQK,Glynco Jetport,GA,Georgia,Glynn,Brunswick
BQN,Rafael Hernandez,PR,Puerto Rico,Unknown,Aguadilla
BRD,"Brainerd, MN",MN,Minnesota,Crow Wing,Brainerd
BRL,Southeast Iowa Regional,IA,Iowa,Des Moines,Burlington
BRO,Brownsville/South Padre International,TX,Texas,Cameron,Brownsville
BRW,Wiley Post/Will Rogers Memorial,AK,Alaska,North Slope,Barrow
BTM,Bert Mooney,MT,Montana,Silver Bow,Butte
BTR,Baton Rouge Metropolitan,LA,Louisiana,East Baton Rouge,Baton Rouge
BTV,"Burlington, VT",VT,Vermont,Chittenden,Burlington
BUF,Buffalo Niagara International,NY,New York,Erie,Buffalo
BUR,Bob Hope,CA,California,Los Angeles,Burbank
BWI,Baltimore/Washington Intl Thurgood Marshall,MD,Maryland,Anne Arundel,Baltimore
BZN,Bozeman Yellowstone International Airport,MT,Montana,Gallatin,Bozeman
BZN,Bozeman Yellowstone International Airport,MT,Montana,Gallatin,Bozeman
CAE,Columbia Metropolitan,SC,South Carolina,Lexington,Columbia
CAK,Akron-Canton Regional,OH,Ohio,Summit,Akron
CDC,Cedar City Municipal,UT,Utah,Iron,Cedar City
CDV,Merle K (Mudhole) Smith,AK,Alaska,Valdez-Cordova,Cordova
CEC,Crescent City,CA,California,Del Norte,Crescent City
CEZ,Cortez Municipal,CO,Colorado,Montezuma,Cortez
CHA,Chattanooga Metropolitan,TN,Tennessee,Hamilton,Chattanooga
CHO,Charlottesville / Albemarle,VA,Virginia,Albemarle,Charlottesville
CHS,Charleston International,SC,South Carolina,Charleston,Charleston
CIC,Chico Municipal,CA,California,Butte,Chico
CID,Eastern Iowa,IA,Iowa,Linn,Cedar Rapids
CIU,Chippewa County International,MI,Michigan,Chippewa,Sault Ste Marie
CKB,Harrison Marion Regional,WV,West Virginia,Harrison,Clarksburg
CLE,Cleveland Hopkins International,OH,Ohio,Cuyahoga,Cleveland
CLL,"Easterwood/College Station, TX",TX,Texas,Brazos,College Station
CLT,Charlotte/Douglas International Airport,NC,North Carolina,Mecklenburg,Charlotte
CMH,John Glenn Columbus International,OH,Ohio,Franklin,Columbus
CMH,John Glenn Columbus International,OH,Ohio,Franklin,Columbus
CMI,University of Illinois-Willard,IL,Illinois,Champaign,Champaign/Urbana
CMX,Houghton County Memorial,MI,Michigan,Houghton,Hancock
COD,Yellowstone Regional,WY,Wyoming,Park,Cody
COS,Colorado Springs Municipal,CO,Colorado,El Paso,Colorado Springs
COU,"Columbia, MO",MO,Missouri,Boone,Columbia
CPR,Natrona International,WY,Wyoming,Natrona,Casper
CRP,Corpus Christi International,TX,Texas,Nueces,Corpus Christi
CRW,"Yeager, Charleston",WV,West Virginia,Kanawha,Charleston
CSG,Columbus Metroplitan,GA,Georgia,Muscogee,Columbus
CVG,Cincinnati/Northern Kentucky International,KY,Kentucky,Boone,Covington
CWA,Central Wisconsin Regional,WI,Wisconsin,Marathon,Mosinee
CYS,Cheyenne Regional Airport - Jerry Olson Field,WY,Wyoming,Laramie,Cheyenne
DAB,Daytona Beach International,FL,Florida,Volusia,Daytona Beach
DAL,Dallas Love Field,TX,Texas,Dallas,Dallas
DAY,James M. Cox Dayton International,OH,Ohio,Montgomery,Dayton
DBQ,Dubuque Regional,IA,Iowa,Dubuque,Dubuque
DCA,Ronald Reagan Washington National Airport,DC,Dist. Of Columbia,Arlington,Washington
DEN,Denver International Airport,CO,Colorado,Denver,Denver
DFW,Dallas-Fort Worth International Airport,TX,Texas,Tarrant,Dallas-Fort Worth
DHN,Dothan Regional Airport,AL,Alabama,Dale,Dothan
DIK,Dickinson Theodore Roosevelt Regional Airport,ND,North Dakota,Stark,Dickinson
DLG,Dillingham,AK,Alaska,Dillingham,Dillingham
DLH,"Duluth, MN",MN,Minnesota,St Louis,Duluth
DRO,"Durango - La Plata County, CO",CO,Colorado,La Plata,Durango
DSM,Des Moines International,IA,Iowa,Polk,Des Moines
DTW,Detroit Metropolitan Wayne County Airport,MI,Michigan,Wayne,Detroit
DVL,"Devils Lake Municipal Airport, Knoke Field",ND,North Dakota,Ramsey,Devils Lake
EAT,Pangborn Memorial,WA,Washington,Douglas,Wenatchee
EAU,Chippewa Valley Regional Airport,WI,Wisconsin,Chippewa,Eau Claire
ECP,Northwest Florida Beaches International Airport,FL,Florida,Bay,Panama City
EGE,Eagle County Regional,CO,Colorado,Eagle,Eagle
EKO,Elko Regional,NV,Nevada,Elko,Elko
ELM,Elmira Corning International,NY,New York,Chemung,Elmira/Corning
ELP,El Paso International Airport,TX,Texas,El Paso,El Paso
ENA,Kenai Municipal Airport,AK,Alaska,Kenai-Cook Inlet,Kenai
ENV,Wendover Municipal Airport,UT,Utah,Tooele,Wendover
ERI,Erie International,PA,Pennsylvania,Erie,Erie
ESC,Delta County,MI,Michigan,Delta,Escanaba
EUG,Eugene Airport/Mahlon Sweet Field,OR,Oregon,Lane,Eugene
EVV,Evansville Regional Airport,IN,Indiana,Vanderburgh,Evansville
EWN,Craven County Regional,NC,North Carolina,Craven,New Bern
EWR,Newark International Airport,NJ,New Jersey,Essex,Newark
EYW,Key West International Airport,FL,Florida,Monroe,Key West
F,Foreign airport,Unknown,Unknown,Unknown,Unknown
FAI,Fairbanks International,AK,Alaska,Fairbanks North Star,Fairbanks
FAR,Hector International,ND,North Dakota,Cass,Fargo
FAT,Fresno Yosemite International,CA,California,Fresno,Fresno
FAY,Fayetteville Regional,NC,North Carolina,Cumberland,Fayetteville
FLG,Flagstaff Pulliam,AZ,Arizona,Coconino,Flagstaff
FLL,Ft. Lauderdale-Hollywood International,FL,Florida,Broward,Fort Lauderdale
FLO,Florence Regional,SC,South Carolina,Florence,Florence
FNT,"Bishop International, Flint",MI,Michigan,Genesee,Flint
FSD,Joe Foss Field,SD,South Dakota,Minnehaha,Sioux Falls
FSM,Fort Smith Municipal,AR,Arkansas,Sebastian,Fort Smith
FWA,Ft. Wayne Municipal- Baer Field,IN,Indiana,Allen,Fort Wayne
GBD,Great Bend Municipal Airport,KS,Kansas,Barton,Great Bend
GCC,Gillette-Campbell County,WY,Wyoming,Campbell,Gillette
GCK,Garden City Municipal,KS,Kansas,Finney,Garden City
GEG,Spokane International,WA,Washington,Spokane,Spokane
GFK,Grand Forks - Mark Andrews International,ND,North Dakota,Grand Forks,Grand Forks
GGG,"Gregg County - Longview, TX",TX,Texas,Gregg,Longview
GJT,Walker Field,CO,Colorado,Mesa,Grand Junction
GLH,Mid Delta Regional,MS,Mississippi,Washington,Greenville
GNV,Gainesville Regional,FL,Florida,Alachua,Gainesville
GPI,"Glacier Park Int., Kalispell, MT",MT,Montana,Flathead,Kalispell
GPT,Gulfport-Biloxi International,MS,Mississippi,Harrison,Gulfport
GRB,Austin Straubel International,WI,Wisconsin,Brown,Green Bay
GRI,Central Nebraska Regional,NE,Nebraska,Hall,Grand Island
GRK,Kileen - Ft. Hood Regional,TX,Texas,Bell,Fort Hood/Killeen
GRO,Rota,CQ,N Mariana Islands,Northern Mariana Is,Rota Island
GRR,Gerald R. Ford International Airport,MI,Michigan,Kent,Grand Rapids
GSN,Saipan International,CQ,N Mariana Islands,Northern Mariana Is,Saipan Island
GSO,Piedmont Triad International Airport,NC,North Carolina,Guilford,Greensboro
GSP,Greenville-Spartanburg,SC,South Carolina,Greenville,Greer
GST,Gustavus,AK,Alaska,Angoon,Gustavus
GTF,Great Falls International,MT,Montana,Cascade,Great Falls
GTR,Golden Triangle Regional,MS,Mississippi,Lowndes,Columbus/W Point/Starkville
GUC,Gunnison - Crested Butte Regional Airport,CO,Colorado,Gunnison,Gunnison
GUM,Guam,GU,Guam,Guam,Guam
GYY,"Gary Regional Airport, Gary IN",IN,Indiana,Lake,Gary
HDN,Yampa Valley Regional,CO,Colorado,Routt,Hayden
HDQ,Headquarters,Unknown,Unknown,Unknown,Unknown
HGR,Hagerstown Regional,MD,Maryland,Washington,Hagerstown
HHH,Hilton Head Island Airport,Unknown,Unknown,Unknown,Unknown
HIB,Chisolm-Hibbing Municipal,MN,Minnesota,St Louis,Hibbing
HLN,Helena Regional,MT,Montana,Lewis And Clark,Helena
HNL,Honolulu International Airport,HI,Hawaii,Honolulu,Honolulu
HOB,Lea County Regional Airport,NM,New Mexico,Lea,Hobbs
HOM,Homer Airport,AK,Alaska,Kenai Peninsula,Homer
HOU,William P. Hobby,TX,Texas,Harris,Houston
HPN,"Westchester County, White Plains",NY,New York,Westchester,White Plains
HRL,Rio Grande Valley International,TX,Texas,Cameron,Harlingen
HSV,Huntsville International Airport,AL,Alabama,Madison,Huntsville
HTS,"Tri-State, Huntington",WV,West Virginia,Wayne,Huntington
HVN,"New Haven, CT",CT,Connecticut,New Haven,New Haven
HXD,Hilton Head Island Airport,SC,South Carolina,Beaufort,Hilton Head Island
HYA,"Barnstable Municipal, Hyannis",MA,Massachusetts,Barnstable,Hyannis
IAD,Washington Dulles International,DC,Dist. Of Columbia,Loudoun,Washington
IAG,Niagara Falls International,NY,New York,Niagara,Niagara Falls
IAH,Houston - George Bush Intercontinental Airport,TX,Texas,Harris,Houston
ICT,Wichita Mid-Continent,KS,Kansas,Sedgwick,Wichita
IDA,Idaho Falls Regional,ID,Idaho,Bonneville,Idaho Falls
IFP,Laughlin/Bullhead International Airport,AZ,Arizona,Mohave,Bullhead City
ILG,New Castle Airport,DE,Delaware,New Castle,Wilmington
ILM,Wilmington International,NC,North Carolina,New Hanover,Wilmington
IMT,Ford Airport,MI,Michigan,Dickinson,Iron Mountain Kingsford
IND,Indianapolis International,IN,Indiana,Marion,Indianapolis
INL,Falls International,MN,Minnesota,Koochiching,International Falls
IPT,Williamsport Lycoming Regional,PA,Pennsylvania,Lycoming,Williamsport
ISN,Sloulin Field International,ND,North Dakota,Williams,Williston
ISP,"Long Island McArthur, Islip",NY,New York,Suffolk,New York
ITH,"Tompkins County, Ithaca",NY,New York,Tompkins,Ithaca
ITH,"Tompkins County, Ithaca",NY,New York,Tompkins,Ithaca
ITO,Hilo International,HI,Hawaii,Hawaii,Hilo
IWA,Mesa-Gateway Airport,AZ,Arizona,Maricopa,Phoenix
IWD,Gogebic County,MI,Michigan,Gogebic,Ironwood
JAC,Jackson Hole,WY,Wyoming,Teton,Jackson
JAN,Jackson International,MS,Mississippi,Rankin,Jackson
JAX,Jacksonville International,FL,Florida,Duval,Jacksonville
